City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,63.09,69,0,6.91,US,1643734033
1,namibe,-15.1961,12.1522,75.92,64,22,13.04,AO,1643734033
2,cape town,-33.9258,18.4232,80.89,52,25,1.99,ZA,1643733776
3,mar del plata,-38.0023,-57.5575,78.87,51,0,24.0,AR,1643733885
4,coihaique,-45.5752,-72.0662,67.95,45,75,9.22,CL,1643733757
5,kavieng,-2.5744,150.7967,77.59,87,100,8.72,PG,1643734034
6,vaini,-21.2,-175.2,75.36,94,20,3.44,TO,1643734034
7,severo-kurilsk,50.6789,156.125,24.82,78,37,8.21,RU,1643734035
8,tasiilaq,65.6145,-37.6368,6.96,73,92,6.31,GL,1643734035
9,wahpeton,46.2652,-96.6059,9.91,78,100,23.02,US,1643733843
10,isangel,-19.55,169.2667,77.83,88,100,3.62,VU,1643734035
11,belaya gora,68.5333,146.4167,-19.66,99,100,3.47,RU,1643734036
12,cherskiy,68.75,161.3,-5.55,79,100,1.14,RU,1643734036
13,khatanga,71.9667,102.5,-34.91,100,20,3.51,RU,1643734036
14,barrow,71.2906,-156.7887,-14.78,76,0,0.0,US,1643734037
15,aasiaat,68.7098,-52.8699,1.9,96,100,6.49,GL,1643734037
16,kapaa,22.0752,-159.319,64.72,94,40,6.91,US,1643734037
17,mataura,-46.1927,168.8643,61.48,94,53,4.41,NZ,1643734038
18,qaanaaq,77.484,-69.3632,-15.93,85,100,8.9,GL,1643734038
19,pevek,69.7008,170.3133,-13.43,88,85,1.81,RU,1643734038
20,nome,64.5011,-165.4064,24.87,39,0,13.8,US,1643734039
21,dikson,73.5069,80.5464,1.83,92,100,19.22,RU,1643734039
22,busselton,-33.65,115.3333,62.04,62,5,19.01,AU,1643734039
23,vila franca do campo,37.7167,-25.4333,65.19,69,58,12.26,PT,1643734040
24,punta arenas,-53.15,-70.9167,51.82,57,40,35.68,CL,1643734041
25,provideniya,64.3833,-173.3,6.48,69,26,21.99,RU,1643734041
26,ca mau,9.1769,105.15,77.47,80,6,9.86,VN,1643734042
27,victoria,22.2855,114.1577,62.26,84,100,7.0,HK,1643733881
28,butaritari,3.0707,172.7902,81.28,77,98,12.66,KI,1643734042
29,mahebourg,-20.4081,57.7,79.25,94,75,19.57,MU,1643734043
30,chuy,-33.6971,-53.4616,75.79,38,0,5.46,UY,1643734043
31,half moon bay,37.4636,-122.4286,52.86,59,0,3.0,US,1643734043
32,lorengau,-2.0226,147.2712,78.42,86,100,9.48,PG,1643734044
33,poum,-20.2333,164.0167,80.02,76,32,12.73,NC,1643734045
34,sigmaringen,48.0833,9.2167,34.66,88,100,17.38,DE,1643734045
35,cabo san lucas,22.8909,-109.9124,72.52,49,0,2.17,MX,1643734045
36,krasnyy yar,46.5331,48.3456,33.73,97,76,2.8,RU,1643734045
37,preetz,54.2333,10.2833,46.27,84,100,19.57,DE,1643734046
38,lebu,-37.6167,-73.65,66.33,67,0,11.81,CL,1643734046
39,avarua,-21.2078,-159.775,78.85,83,100,10.36,CK,1643734046
40,ushuaia,-54.8,-68.3,46.02,81,75,29.93,AR,1643734047
41,new norfolk,-42.7826,147.0587,51.3,61,45,1.99,AU,1643734047
42,hobart,-42.8794,147.3294,51.66,65,45,1.01,AU,1643733866
43,bluff,-46.6,168.3333,61.81,91,64,6.51,NZ,1643734047
44,brumunddal,60.881,10.9395,22.26,90,100,1.01,NO,1643734048
45,rikitea,-23.1203,-134.9692,77.9,68,35,7.85,PF,1643734108
46,mizque,-17.941,-65.3402,64.33,77,99,5.77,BO,1643734108
47,olinda,-8.0089,-34.8553,85.73,66,40,10.36,BR,1643734109
48,mecca,21.4267,39.8261,70.05,37,1,6.4,SA,1643734089
49,los llanos de aridane,28.6585,-17.9182,66.13,79,75,5.99,ES,1643734109
50,semnan,35.5729,53.3971,37.24,87,75,2.3,IR,1643734031
51,carnarvon,-24.8667,113.6333,77.07,83,43,20.71,AU,1643734109
52,broome,42.2506,-75.833,33.01,47,46,4.0,US,1643734110
53,forestville,38.8451,-76.875,40.51,61,0,3.44,US,1643734110
54,vestmannaeyjar,63.4427,-20.2734,31.19,93,100,6.91,IS,1643734110
55,bredasdorp,-34.5322,20.0403,75.27,58,1,7.45,ZA,1643734111
56,nurobod,40.9056,69.8023,38.25,42,7,8.79,UZ,1643734111
57,kimbe,-5.5502,150.1429,75.58,94,100,1.74,PG,1643734112
58,coquimbo,-29.9533,-71.3436,65.93,72,100,8.05,CL,1643734112
59,vila velha,-20.3297,-40.2925,93.15,57,0,5.99,BR,1643734112
60,carauari,-4.8828,-66.8958,92.68,47,61,4.7,BR,1643734112
61,talant,47.3369,5.0089,38.01,93,100,9.22,FR,1643734113
62,bathsheba,13.2167,-59.5167,84.81,61,20,18.41,BB,1643734113
63,aykhal,66.0,111.5,-23.91,100,27,3.42,RU,1643734113
64,acapulco,16.8634,-99.8901,80.78,58,2,5.17,MX,1643734114
65,port alfred,-33.5906,26.891,77.86,80,100,7.9,ZA,1643734114
66,fukue,32.6881,128.8419,44.49,61,13,18.25,JP,1643734114
67,puerto ayora,-0.7393,-90.3518,82.36,85,83,5.01,EC,1643734115
68,iracoubo,5.4802,-53.2011,81.79,71,36,10.71,GF,1643734115
69,bereda,43.2686,-7.5406,54.0,78,1,5.86,ES,1643734115
70,thompson,55.7435,-97.8558,-20.04,69,75,13.8,CA,1643734116
71,uruzgan,32.8333,66.0,39.63,52,93,5.57,AF,1643734116
72,mount gambier,-37.8333,140.7667,48.11,71,75,6.91,AU,1643734116
73,aloleng,16.1307,119.7824,76.51,73,5,10.76,PH,1643734116
74,saint anthony,45.0205,-93.218,19.78,70,100,7.0,US,1643734117
75,san rafael,-34.6177,-68.3301,91.56,20,88,12.17,AR,1643734117
76,nyurba,63.2842,118.3319,-33.36,100,92,2.48,RU,1643734117
77,adrar,20.5022,-10.0711,85.53,10,90,15.93,MR,1643734118
78,yar-sale,66.8333,70.8333,-15.65,99,66,6.73,RU,1643734118
79,mirpur mathelo,28.0227,69.5489,68.9,19,0,6.71,PK,1643734118
80,saskylakh,71.9167,114.0833,-28.19,100,52,1.61,RU,1643734119
81,guerrero negro,27.9769,-114.0611,61.66,66,96,11.43,MX,1643734119
82,klaksvik,62.2266,-6.589,32.92,73,100,27.67,FO,1643734119
83,aklavik,68.2191,-135.0107,-10.37,76,75,2.3,CA,1643734120
84,baruun-urt,46.6806,113.2792,-10.26,90,4,4.47,MN,1643734120
85,cabedelo,-6.9811,-34.8339,88.47,64,12,12.24,BR,1643734120
86,haines junction,60.7522,-137.5108,-41.85,66,90,0.0,CA,1643733857
87,narwar,25.65,77.9,63.14,54,0,5.75,IN,1643734121
88,georgetown,5.4112,100.3354,85.95,83,20,5.01,MY,1643734111
89,ulaangom,49.9811,92.0667,-22.97,90,77,3.2,MN,1643734121
90,albany,42.6001,-73.9662,34.66,50,7,5.01,US,1643734085
91,prince rupert,54.3161,-130.3201,37.09,93,75,4.61,CA,1643734182
92,tateyama,34.9833,139.8667,48.13,53,20,23.02,JP,1643734182
93,laguna,38.421,-121.4238,51.87,49,0,8.01,US,1643734182
94,zhengjiatun,43.5064,123.5064,1.76,84,4,6.67,CN,1643734182
95,igunga,-4.2833,33.8833,66.04,89,100,2.77,TZ,1643734183
96,hermanus,-34.4187,19.2345,77.9,79,4,2.8,ZA,1643734183
97,luau,-10.7073,22.2247,68.4,94,100,3.36,AO,1643734183
98,east london,-33.0153,27.9116,76.14,88,75,5.75,ZA,1643734184
99,bambous virieux,-20.3428,57.7575,79.21,94,75,19.57,MU,1643734184
100,talnakh,69.4865,88.3972,6.21,96,100,9.17,RU,1643734184
101,bhanjanagar,19.9333,84.5833,66.74,59,3,1.88,IN,1643734185
102,ostrovnoy,68.0531,39.5131,13.48,95,100,4.05,RU,1643734185
103,shestakovo,56.4915,103.96,-11.04,100,99,2.68,RU,1643734186
104,banda aceh,5.5577,95.3222,78.42,81,34,5.7,ID,1643734186
105,zharkovskiy,55.849,32.2697,21.65,95,100,8.14,RU,1643734186
106,kaitangata,-46.2817,169.8464,58.59,97,73,5.3,NZ,1643734186
107,kavaratti,10.5669,72.642,80.64,69,14,6.46,IN,1643734187
108,motupe,-6.1519,-79.7142,86.49,42,69,6.67,PE,1643734187
109,jamestown,42.097,-79.2353,34.52,36,89,7.0,US,1643734055
110,kahului,20.8947,-156.47,69.06,82,0,3.44,US,1643734188
111,atuona,-9.8,-139.0333,78.1,78,16,22.1,PF,1643734188
112,dolni bousov,50.4383,15.1281,37.36,97,99,16.02,CZ,1643734188
113,hambantota,6.1241,81.1185,76.33,74,7,16.17,LK,1643734188
